date,bn,nf,usd
2021-12-09,37082.44921875,17516.849609375,75.38330078125
2021-12-10,37105.6484375,17511.30078125,75.59919738769531
2021-12-13,36925.25,17368.25,75.70999908447266
2021-12-14,36893.94921875,17324.900390625,75.82689666748047
2021-12-15,36789.55078125,17221.400390625,76.04720306396484
2021-12-16,36548.6484375,17248.400390625,76.2114028930664
2021-12-17,35618.6484375,16985.19921875,76.1675033569336
2021-12-20,34439.8515625,16614.19921875,76.00599670410156
2021-12-21,34607.8515625,16770.849609375,75.75869750976562
2021-12-22,35029.5,16955.44921875,75.6864013671875
2021-12-23,35191.1484375,17072.599609375,75.45850372314453
2021-12-24,34857.05078125,17003.75,75.06739807128906
2021-12-27,35057.8984375,17086.25,75.31500244140625
2021-12-28,35183.80078125,17233.25,74.98030090332031
2021-12-29,35045.3984375,17213.599609375,74.74500274658203
2021-12-30,35063.6015625,17203.94921875,74.57029724121094
2021-12-31,35481.69921875,17354.05078125,74.43119812011719
2022-01-03,36421.8984375,17625.69921875,74.51380157470703
2022-01-04,36840.1484375,17805.25,74.4032974243164
2022-01-05,37695.8984375,17925.25,74.53489685058594
2022-01-06,37490.25,17745.900390625,74.43009948730469
2022-01-07,37739.6015625,17812.69921875,74.41929626464844
2022-01-10,38347.8984375,18003.30078125,74.2699966430664
2022-01-11,38442.19921875,18055.75,74.05699920654297
2022-01-12,38727.55078125,18212.349609375,73.81529998779297
2022-01-13,38469.94921875,18257.80078125,73.79910278320312
2022-01-14,38370.3984375,18255.75,73.97229766845703
2022-01-17,38216.1484375,18308.099609375,74.37899780273438
2022-01-18,38210.30078125,18113.05078125,74.25509643554688
2022-01-19,38041.3515625,17938.400390625,74.61969757080078
2022-01-20,37850.8515625,17757.0,74.44920349121094
2022-01-21,37574.30078125,17617.150390625,74.45220184326172
2022-01-24,36947.55078125,17149.099609375,74.41320037841797
2022-01-25,37706.75,17277.94921875,74.6447982788086
2022-01-27,37982.1015625,17110.150390625,74.8949966430664
2022-01-28,37689.3984375,17101.94921875,75.20929718017578
2022-01-31,37975.3515625,17339.849609375,75.03900146484375
2022-02-01,38505.5,17576.849609375,74.55580139160156
2022-02-02,39330.5,17780.0,74.74549865722656
2022-02-03,39010.0,17560.19921875,74.82240295410156
2022-02-04,38789.3515625,17516.30078125,74.6438980102539
2022-02-07,37995.44921875,17213.599609375,74.64219665527344
2022-02-08,38028.44921875,17266.75,74.6583023071289
2022-02-09,38610.25,17463.80078125,74.69519805908203
2022-02-10,39010.94921875,17605.849609375,74.80889892578125
2022-02-11,38517.25,17374.75,75.53839874267578
2022-02-14,36908.55078125,16842.80078125,75.34100341796875
2022-02-15,38170.1015625,17352.44921875,75.6854019165039
2022-02-16,37953.80078125,17322.19921875,75.17479705810547
2022-02-17,37531.6484375,17304.599609375,75.04199981689453
2022-02-18,37599.1484375,17276.30078125,75.06300354003906
2022-02-21,37685.6015625,17206.650390625,74.68240356445312
2022-02-22,37371.6484375,17092.19921875,74.51699829101562
2022-02-23,37392.05078125,17063.25,74.62300109863281
2022-02-24,35228.1015625,16247.9501953125,74.63300323486328
2022-02-25,36430.75,16658.400390625,75.4083023071289
2022-02-28,36205.30078125,16793.900390625,75.06800079345703
2022-03-02,35372.80078125,16605.94921875,75.80120086669922
2022-03-03,34944.30078125,16498.05078125,75.63099670410156
2022-03-04,34407.80078125,16245.349609375,75.8917007446289
2022-03-07,32871.25,15863.150390625,76.41799926757812
2022-03-08,33158.1015625,16013.4501953125,77.08080291748047
2022-03-09,33815.44921875,16345.349609375,76.91449737548828
2022-03-10,34475.6015625,16594.900390625,76.13490295410156
2022-03-11,34546.25,16630.44921875,76.310302734375
2022-03-14,35312.1484375,16871.30078125,76.75370025634766
2022-03-15,35022.6484375,16663.0,76.49009704589844
2022-03-16,35748.25,16975.349609375,76.26589965820312
2022-03-17,36428.55078125,17287.05078125,76.02420043945312
2022-03-21,36018.5,17117.599609375,75.94640350341797
2022-03-22,36348.55078125,17315.5,76.30709838867188
2022-03-23,36147.3515625,17245.650390625,76.10189819335938
2022-03-24,35527.1015625,17222.75,76.55239868164062
2022-03-25,35410.1015625,17153.0,76.32350158691406
2022-03-28,35710.5,17222.0,76.27850341796875
2022-03-29,35847.3984375,17325.30078125,76.03410339355469
2022-03-30,36334.30078125,17498.25,75.66670227050781
2022-03-31,36373.6015625,17464.75,75.82779693603516
2022-04-01,37148.5,17670.44921875,75.9092025756836
2022-04-04,38635.19921875,18053.400390625,75.99479675292969
2022-04-05,38067.8984375,17957.400390625,75.47799682617188
2022-04-06,37632.80078125,17807.650390625,75.45069885253906
2022-04-07,37557.3515625,17639.55078125,75.94509887695312
2022-04-08,37752.05078125,17784.349609375,75.91320037841797
2022-04-11,37613.80078125,17674.94921875,75.91729736328125
2022-04-12,37747.3984375,17530.30078125,75.83699798583984
2022-04-13,37463.3984375,17475.650390625,76.1498031616211
2022-04-18,36729.0,17173.650390625,76.3313980102539
2022-04-19,36341.6015625,16958.650390625,76.28019714355469
2022-04-20,36314.8984375,17136.55078125,76.44539642333984
2022-04-21,36816.1015625,17392.599609375,76.27619934082031
2022-04-22,36044.75,17171.94921875,76.28520202636719
2022-04-25,36082.3515625,16953.94921875,76.4635009765625
2022-04-26,36404.80078125,17200.80078125,76.52780151367188
2022-04-27,36028.8515625,17038.400390625,76.79409790039062
2022-04-28,36422.19921875,17245.05078125,76.47219848632812
2022-04-29,36088.1484375,17102.55078125,76.58899688720703
2022-05-02,36163.75,17069.099609375,76.52310180664062
2022-05-04,35264.55078125,16677.599609375,76.46730041503906
2022-05-05,35232.8515625,16682.650390625,76.00160217285156
2022-05-06,34591.19921875,16411.25,76.54180145263672
2022-05-09,34275.3984375,16301.849609375,76.9574966430664
2022-05-10,34482.6484375,16240.0498046875,77.3655014038086
2022-05-11,34693.1484375,16167.099609375,77.27140045166016
2022-05-12,33532.1484375,15808.0,77.41840362548828
2022-05-13,33121.3515625,15782.150390625,77.44380187988281
2022-05-16,33597.6015625,15842.2998046875,77.48629760742188
2022-05-17,34301.8984375,16259.2998046875,77.8053970336914
2022-05-18,34163.69921875,16240.2998046875,77.37239837646484
2022-05-19,33315.6484375,15809.400390625,77.81999969482422
2022-05-20,34276.3984375,16266.150390625,77.42109680175781
2022-05-23,34247.6015625,16214.7001953125,77.81839752197266
2022-05-24,34290.1484375,16125.150390625,77.52680206298828
2022-05-25,34339.5,16025.7998046875,77.47879791259766
2022-05-26,35094.8984375,16170.150390625,77.49729919433594
2022-05-27,35613.30078125,16352.4501953125,77.63020324707031
2022-05-30,35826.94921875,16661.400390625,77.69200134277344
2022-05-31,35487.3984375,16584.55078125,77.5208969116211
2022-06-01,35620.80078125,16522.75,77.5989990234375
2022-06-02,35613.6484375,16628.0,77.58409881591797
2022-06-03,35275.05078125,16584.30078125,77.3604965209961
2022-06-06,35310.19921875,16569.55078125,77.69419860839844
2022-06-07,34996.0,16416.349609375,77.82099914550781
2022-06-08,34946.1484375,16356.25,77.67060089111328
2022-06-09,35085.44921875,16478.099609375,77.72429656982422
2022-06-10,34483.80078125,16201.7998046875,77.8187026977539
2022-06-13,33405.8515625,15774.400390625,78.17759704589844
2022-06-14,33311.3515625,15732.099609375,78.16059875488281
2022-06-15,33339.0,15692.150390625,77.9854965209961
2022-06-16,32617.099609375,15360.599609375,77.90019989013672
2022-06-17,32743.05078125,15293.5,77.97769927978516
2022-06-20,32684.80078125,15350.150390625,77.9614028930664
2022-06-21,33191.75,15638.7998046875,77.93399810791016
2022-06-22,32845.30078125,15413.2998046875,78.13490295410156
2022-06-23,33135.0,15556.650390625,78.19309997558594
2022-06-24,33627.44921875,15699.25,78.14240264892578
2022-06-27,33811.25,15832.0498046875,78.2522964477539
2022-06-28,33642.44921875,15850.2001953125,78.44110107421875
2022-06-29,33269.8984375,15799.099609375,79.07319641113281
2022-06-30,33425.1015625,15780.25,78.89830017089844
2022-07-01,33539.44921875,15752.0498046875,78.96299743652344
2022-07-04,33940.8984375,15835.349609375,78.95069885253906
2022-07-05,33815.8984375,15810.849609375,78.93949890136719
2022-07-06,34324.25,15989.7998046875,79.36840057373047
2022-07-07,34920.30078125,16132.900390625,79.04389953613281
2022-07-08,35124.05078125,16220.599609375,79.22160339355469
2022-07-11,35469.6484375,16216.0,79.3313980102539
2022-07-12,35132.25,16058.2998046875,79.47779846191406
2022-07-13,34827.80078125,15966.650390625,79.47640228271484
2022-07-14,34651.19921875,15938.650390625,79.80750274658203
2022-07-15,34682.6484375,16049.2001953125,79.87830352783203
2022-07-18,35358.69921875,16278.5,79.72049713134766
2022-07-19,35720.3515625,16340.5498046875,80.0302963256836
2022-07-20,35972.1015625,16520.849609375,79.85590362548828
2022-07-21,36201.0,16605.25,80.00340270996094
2022-07-22,36738.94921875,16719.44921875,79.7759017944336
2022-07-25,36726.3984375,16631.0,79.87680053710938
2022-07-26,36408.5,16483.849609375,79.72250366210938
2022-07-27,36783.75,16641.80078125,79.84120178222656
2022-07-28,37378.1484375,16929.599609375,79.84739685058594
2022-07-29,37491.3984375,17158.25,79.57150268554688
2022-08-01,37903.19921875,17340.05078125,79.1948013305664
2022-08-02,38024.0,17345.44921875,78.95570373535156
2022-08-03,37989.25,17388.150390625,78.60449981689453
2022-08-04,37755.55078125,17382.0,79.11830139160156
2022-08-05,37920.6015625,17397.5,79.15489959716797
2022-08-08,38237.3984375,17525.099609375,79.41059875488281
2022-08-10,38287.8515625,17534.75,79.57839965820312
2022-08-11,38879.8515625,17659.0,79.0978012084961
2022-08-12,39042.30078125,17698.150390625,79.61399841308594
2022-08-16,39239.6484375,17825.25,79.55290222167969
2022-08-17,39461.69921875,17944.25,79.14600372314453
2022-08-18,39656.1484375,17956.5,79.35970306396484
2022-08-19,38985.94921875,17758.44921875,79.7667007446289
2022-08-22,38297.75,17490.69921875,79.91790008544922
2022-08-23,38697.6484375,17577.5,79.88379669189453
2022-08-24,39038.5,17604.94921875,79.85449981689453
2022-08-25,38950.75,17522.44921875,79.79679870605469
2022-08-26,38987.1484375,17558.900390625,79.88289642333984
2022-08-29,38276.69921875,17312.900390625,79.95909881591797
2022-08-30,39536.75,17759.30078125,79.96790313720703
2022-09-01,39301.25,17542.80078125,79.54879760742188
2022-09-02,39421.0,17539.44921875,79.716796875
2022-09-05,39805.75,17665.80078125,79.72450256347656
2022-09-06,39666.5,17655.599609375,79.78299713134766
2022-09-07,39455.8984375,17624.400390625,79.89510345458984
2022-09-08,40208.94921875,17798.75,79.6498031616211
2022-09-09,40415.69921875,17833.349609375,79.706298828125
