call_thr,put_thr,skip_ceil,min_edge,pooled_PF,pooled_Net,pooled_MaxDD,pooled_TradeCount,pooled_WR,pooled_Sharpe,pooled_Sortino,per_fold_PF,passes_min_trades_filter,rank
0.3,0.35,0.7,0.03,1.9718044716848029,6895.5797331282265,4927.963777626332,13,0.46153846153846156,0.19370964071511876,0.279852548686974,"[NaN, NaN, 0.0, 2.714663322139847, NaN, NaN, 1.8174911775958014, NaN]",False,52
0.3,0.35,0.75,0.03,1.9718044716848029,6895.5797331282265,4927.963777626332,13,0.46153846153846156,0.19370964071511876,0.279852548686974,"[NaN, NaN, 0.0, 2.714663322139847, NaN, NaN, 1.8174911775958014, NaN]",False,53
0.3,0.2,0.65,0.03,1.9456753794994066,16439.017879436688,7248.401403735708,36,0.4444444444444444,0.1803859580169045,0.29265016020568635,"[80.52547707117708, 0.22544734660219787, 18.079507667948477, 0.883502878825199, NaN, NaN, 2.1040393468472844, Infinity]",False,54
0.35,0.15,0.6,0.03,1.9438973116226828,2897.3226629662095,1629.9416424258934,10,0.2,0.1755724079700433,0.5522057132792251,"[Infinity, NaN, NaN, 0.0, NaN, NaN, 2.453450586278069, NaN]",False,55
0.35,0.2,0.6,0.03,1.9438973116226828,2897.3226629662095,1629.9416424258934,10,0.2,0.1755724079700433,0.5522057132792251,"[Infinity, NaN, NaN, 0.0, NaN, NaN, 2.453450586278069, NaN]",False,56
0.32,0.15,0.7,0.03,1.9380797810451544,27483.365785079313,11811.269404972469,61,0.3770491803278688,0.19507265099816057,0.37361049151653775,"[5.4278961138641275, 0.9679129995058444, 18.149835160877075, 0.24072575095061155, 1.4914353500512247, NaN, 19.15301119278406, 0.0]",True,57
0.3,0.3,0.6,0.03,1.935260300486925,6761.5902781602,4886.974126504672,13,0.46153846153846156,0.18976746621534613,0.2742605833661374,"[NaN, NaN, NaN, 2.714663322139847, NaN, NaN, 1.7719655121654594, NaN]",False,58
0.4,0.2,0.65,0.03,1.924709969209857,9527.704115697543,5260.249405627564,24,0.4166666666666667,0.16423847326388155,0.30610573250723455,"[80.52547707117708, 0.22544734660219787, 18.079507667948477, 0.43345534597805985, NaN, NaN, 7.789171823268597, Infinity]",False,59
0.3,0.3,0.65,0.03,1.924349869521673,6720.600627038541,4927.963777626332,13,0.46153846153846156,0.18856439932143576,0.27255544674786086,"[NaN, NaN, NaN, 2.714663322139847, NaN, NaN, 1.7598969502559654, NaN]",False,60
0.3,0.3,0.7,0.03,1.9201944631634624,6704.866596427622,4927.963777626332,14,0.42857142857142855,0.1815535186595708,0.2699268422440204,"[NaN, NaN, 0.0, 2.714663322139847, NaN, NaN, 1.7598969502559654, NaN]",False,61
0.3,0.3,0.75,0.03,1.9201944631634624,6704.866596427622,4927.963777626332,14,0.42857142857142855,0.1815535186595708,0.2699268422440204,"[NaN, NaN, 0.0, 2.714663322139847, NaN, NaN, 1.7598969502559654, NaN]",False,62
0.32,0.2,0.7,0.03,1.8221999329207208,16680.478753637395,12823.253390332275,42,0.30952380952380953,0.15816201144996542,0.3289517201369348,"[80.52547707117708, 0.10618572170796164, 12.925366116807945, 0.25059024738336516, Infinity, NaN, 17.232859492382037, 0.0]",False,63
0.3,0.25,0.6,0.03,1.8139526311317897,6278.110106177255,4886.974126504672,14,0.42857142857142855,0.16941696599867978,0.25162157978613997,"[NaN, NaN, NaN, 2.714663322139847, NaN, NaN, 1.639364099684301, NaN]",False,64
0.3,0.35,0.6,0.05,1.8060551209893418,5673.758734614406,4886.974126504672,11,0.45454545454545453,0.17283144427442523,0.25198612121705327,"[NaN, NaN, NaN, 1.6937244669171247, NaN, NaN, 1.830365463308518, NaN]",False,65
0.3,0.35,0.65,0.05,1.7955988359367228,5632.769083492747,4927.963777626332,11,0.45454545454545453,0.17153470438259438,0.2501265768618144,"[NaN, NaN, NaN, 1.6937244669171247, NaN, NaN, 1.8174911775958014, NaN]",False,66
