time,year,dir,reason,net_option,gross_option,cost,delta_model,prem_entry,prem_exit,iv,sl_pts,trail,entry_time,hold_min,fold,brain
2025-10-23 15:20:00,2025,PUT,SQUARE_OFF,3929.2991385542227,4035.432154526743,106.13301597252014,3566.875,119.39653778685715,181.4801093949609,0.0987591042022759,47.0,True,2025-10-23 14:45:00,35.0,6,xgb
2025-10-24 10:55:00,2025,PUT,FLOOD_EXIT,2904.159128520692,2992.624735985819,88.46560746512719,2900.625,83.0732294735426,129.11361002717058,0.08745996437253396,71.0,True,2025-10-24 09:35:00,80.0,6,xgb
2025-10-28 11:50:00,2025,PUT,FLOOD_EXIT,-864.4061028354901,-757.379418078508,107.02668475698205,-178.75,136.6053323858996,124.95334133853794,0.6552899052217386,39.6,False,2025-10-28 11:20:00,30.0,6,xgb
2025-10-30 11:20:00,2025,PUT,SL,-1385.7397711946905,-1292.2319895386863,93.50778165600424,-1511.25,107.9765431497417,88.09605100299268,0.10198630180607447,46.5,False,2025-10-30 10:40:00,40.0,6,xgb
2025-10-31 11:45:00,2025,PUT,FLOOD_EXIT,-348.2529045095871,-253.17229301163934,95.08061149794777,-243.75,108.20851697508078,104.31355862105556,0.09974174333432782,49.5,False,2025-10-31 11:15:00,30.0,6,xgb
2025-11-03 10:40:00,2025,PUT,SL,-1774.1710342136885,-1694.6743771202273,79.49665709346114,-1966.25,71.96777062403271,45.89585712987537,0.13173510641915875,60.5,False,2025-11-03 09:35:00,65.0,6,xgb
2025-11-03 11:45:00,2025,CALL,SL,-2054.7724027337804,-1969.4492797988914,85.32312293488889,-1881.7500000000473,91.76510625189803,61.46588656268432,0.13173510641915875,57.9,False,2025-11-03 10:40:00,65.0,6,xgb
2025-11-04 11:30:00,2025,PUT,FLOOD_EXIT,864.2811859798959,948.0971610388406,83.81597505894472,1235.0,76.78561093360076,91.37172110342908,0.3066920304865802,40.1,True,2025-11-04 10:40:00,50.0,6,xgb
2025-11-06 10:45:00,2025,PUT,FLOOD_EXIT,2176.510555523087,2270.3323484607427,93.82179293765564,2270.1249999999527,97.3794908967011,132.30768087302022,0.09112362044384374,62.3,True,2025-11-06 09:40:00,65.0,6,xgb
2025-11-07 10:15:00,2025,PUT,BE_SL,-3.1968145855239527,81.28993553521468,84.48675012073863,97.5,83.38344964215139,84.63406403500085,0.08458730768828161,84.5,False,2025-11-07 09:50:00,25.0,6,xgb
2025-11-07 10:40:00,2025,PUT,FLOOD_EXIT,-1027.8544027229639,-943.762915236648,84.09148748631578,-1040.0,85.7485510682418,71.2291216030626,0.08458730768828161,80.5,False,2025-11-07 10:15:00,25.0,6,xgb
2025-11-11 11:30:00,2025,PUT,FLOOD_EXIT,-258.34512285231847,-163.13406825420316,95.21105459811534,188.5000000000946,108.21549967935607,105.70574478313756,0.42955802644196844,44.4,False,2025-11-11 11:00:00,30.0,6,xgb
2025-11-13 09:45:00,2025,PUT,BE_SL,-22.028208945613315,88.16827472201112,110.19648366762443,97.5,141.03348738872774,142.38992238445098,0.11198206672545413,48.7,False,2025-11-13 09:25:00,20.0,6,xgb
2025-11-13 15:20:00,2025,PUT,SQUARE_OFF,943.8852034030496,1046.8657983394314,102.98059493638182,1116.3749999999527,121.80561278315508,137.91124044991557,0.11198206672545413,49.4,False,2025-11-13 14:20:00,60.0,6,xgb
2025-11-14 11:00:00,2025,PUT,SL,-2181.3557944199465,-2098.371141168959,82.98465325098726,-2752.7500000000236,86.92844656606758,54.64581362500667,0.09579202057082976,84.7,False,2025-11-14 10:00:00,60.0,6,xgb
2025-11-14 12:10:00,2025,PUT,BE_SL,-21.305618666099733,66.4132328134383,87.71885147953803,97.5,90.68086520338329,91.70260724666696,0.09579202057082976,49.0,False,2025-11-14 11:25:00,45.0,6,xgb
2025-11-14 12:50:00,2025,PUT,FLOOD_EXIT,-42.146097088008474,47.4293982501149,89.57549533812337,58.49999999997635,94.90589504399577,95.63557809399754,0.09579202057082976,38.6,False,2025-11-14 12:35:00,15.0,6,xgb
2025-11-18 11:20:00,2025,PUT,SL,-1666.2166723021815,-1564.7872148115948,101.42945749058654,-1111.5000000000236,126.6110002391888,102.53735078054888,0.5570851676343184,34.2,False,2025-11-18 10:45:00,35.0,6,xgb
