ym,trades,wins,pnl_sum,gross_profit,gross_loss,wr,pf,dd
2024-02,104,97,4095.0700000000093,5298.999999999999,1203.9299999999907,0.9326923076923077,4.401418687133006,993.3299999999952
2024-03,46,46,2476.579999999991,2476.579999999991,-0.0,1.0,,0.0
2024-04,47,47,2236.5199999999872,2236.5199999999877,-0.0,1.0,,0.0
2024-05,65,57,1547.5300000000127,2877.039999999997,1329.5099999999838,0.8769230769230769,2.1639852276402824,720.9900000000007
2024-06,83,79,9384.719999999976,10127.219999999981,742.5000000000043,0.9518072289156626,13.63935353535343,742.5000000000045
2024-07,22,22,1400.7800000000002,1400.7800000000002,-0.0,1.0,,0.0
2024-08,54,45,1397.5300000000332,3085.150000000021,1687.6199999999874,0.8333333333333334,1.8281070383143385,1198.1999999999935
2024-09,17,14,400.7500000000029,908.7999999999942,508.04999999999126,0.8235294117647058,1.788800314929652,367.07999999998935
2024-10,119,112,4633.979999999979,6249.629999999975,1615.6499999999958,0.9411764705882353,3.868183084207589,1499.7
2024-11,160,150,7737.259999999961,8858.149999999947,1120.8899999999855,0.9375,7.902782610247269,776.5199999999822
2024-12,93,88,4152.480000000014,5308.680000000009,1156.1999999999957,0.946236559139785,4.591489361702153,588.5399999999921
2025-01,120,112,5153.699999999999,6432.300000000009,1278.6000000000108,0.9333333333333333,5.030736743312963,566.0699999999988
2025-02,114,108,5248.780000000011,6007.570000000002,758.789999999992,0.9473684210526315,7.91730254747699,449.60999999999285
2025-03,55,55,2879.070000000013,2879.070000000013,-0.0,1.0,,0.0
2025-04,109,107,6289.809999999986,6781.239999999985,491.4299999999996,0.981651376146789,13.79899477036402,491.4300000000003
2025-05,134,119,5065.980000000013,7299.270000000029,2233.290000000014,0.8880597014925373,3.268393267332045,662.0099999999993
2025-06,20,20,1152.2400000000023,1152.2400000000023,-0.0,1.0,,0.0
2025-07,8,8,327.98000000000104,327.980000000001,-0.0,1.0,,0.0
2025-08,9,9,421.95000000000147,421.95000000000147,-0.0,1.0,,0.0
2025-09,4,4,178.51999999999535,178.51999999999535,-0.0,1.0,,0.0
2025-10,3,3,170.00999999999985,170.00999999999985,-0.0,1.0,,0.0
2025-11,3,3,145.79999999999782,145.7999999999978,-0.0,1.0,,0.0
2025-12,3,3,163.79999999999927,163.79999999999927,-0.0,1.0,,0.0
2026-01,82,80,4700.723125000027,4921.2231250000295,220.50000000000216,0.975609756097561,22.318472222222137,220.50000000000216
2026-02,36,36,1731.7390625,1731.7390625,-0.0,1.0,,0.0
2026-03,289,259,9937.270078124993,17411.860078125013,7474.590000000018,0.8961937716262975,2.329473600307839,1786.5700000000197
2026-04,124,116,5844.81999999997,7380.459999999962,1535.6399999999921,0.9354838709677419,4.806113411997603,416.4899999999966
2026-05,37,36,1790.6400000000017,1911.8399999999995,121.19999999999783,0.972972972972973,15.774257425742853,121.19999999999777
2026-06,44,39,1343.0,2053.6700000000005,710.6700000000004,0.8863636363636364,2.8897659954690633,710.6700000000004
