hbucket,direction,atr,adx,timeout,won,pnl,bars
11:00-12:00,PUT,31.339999999999417,36.29605268383041,True,,,
11:00-12:00,PUT,30.854999999999563,36.29605268383041,True,,,
11:00-12:00,PUT,29.914999999999782,38.69997200822644,True,,,
11:00-12:00,CALL,34.384999999999856,42.46335866796494,True,,,
11:00-12:00,CALL,34.67999999999993,42.46335866796494,True,,,
11:00-12:00,CALL,27.405000000000292,42.46335866796494,True,,,
11:00-12:00,PUT,25.675000000000363,45.72496043971694,True,,,
12:00-13:00,CALL,27.835000000000218,45.72496043971694,True,,,
12:00-13:00,CALL,27.73000000000029,45.72496043971694,True,,,
12:00-13:00,CALL,27.525,48.90304956427327,True,,,
12:00-13:00,CALL,26.905000000000292,48.90304956427327,True,,,
12:00-13:00,CALL,28.604999999999926,48.90304956427327,True,,,
12:00-13:00,CALL,26.79499999999971,51.88368954645277,True,,,
12:00-13:00,CALL,24.545000000000073,51.88368954645277,False,True,49.090000000000146,7.0
12:00-13:00,CALL,23.51000000000022,51.88368954645277,False,True,47.02000000000044,4.0
12:00-13:00,CALL,22.854999999999926,54.266362117984414,False,True,45.70999999999985,3.0
12:00-13:00,CALL,23.585000000000218,54.266362117984414,False,True,47.170000000000435,6.0
12:00-13:00,CALL,22.61500000000051,54.266362117984414,True,,,
12:00-13:00,CALL,21.81500000000051,57.22273251490099,True,,,
13:00-14:00,CALL,21.68500000000058,57.22273251490099,True,,,
13:00-14:00,CALL,21.970000000000436,57.22273251490099,True,,,
13:00-14:00,CALL,19.43500000000058,60.10251837397499,True,,,
13:00-14:00,CALL,18.595000000000802,60.10251837397499,True,,,
13:00-14:00,CALL,21.24000000000051,60.10251837397499,True,,,
13:00-14:00,CALL,21.43500000000022,60.18638427723046,False,True,42.87000000000044,7.0
13:00-14:00,CALL,23.125000000000362,60.18638427723046,True,,,
14:00-15:30,CALL,22.729999999999563,62.08724626631989,False,False,-136.37999999999738,5.0
14:00-15:30,CALL,24.095000000000073,62.08724626631989,False,False,-144.57000000000045,4.0
14:00-15:30,CALL,24.215000000000146,62.08724626631989,False,False,-145.29000000000087,3.0
14:00-15:30,CALL,23.30499999999993,64.18737106495473,False,False,-139.8299999999996,2.0
14:00-15:30,PUT,32.48500000000022,64.18737106495473,False,True,64.97000000000044,2.0
14:00-15:30,PUT,37.325000000000365,64.18737106495473,True,,,
14:00-15:30,PUT,40.170000000000435,58.22777924522069,True,,,
14:00-15:30,PUT,45.37000000000044,58.22777924522069,True,,,
