feature,ic,q,mi,imp,stab,captured_pct,clears_friction,category
vix_above_ma20,0.002854321318427243,0.23072435529078889,0.005307360045179843,0.0036744815,0.6666666666666666,0.0005643216023302033,False,D_noise
tf30_rsi,0.02870600626977766,5.958284500804666e-38,0.029094557722208814,0.003631253,1.0,0.005675401486889297,False,B_weak
intraday_pos,0.021768215965827214,1.773491001566394e-22,0.006775950060860181,0.0036249098,1.0,0.004303746195075989,False,B_weak
liq_sweep_high,0.0021123637421075364,0.37948602545377563,0.0,0.0036210604,0.6666666666666666,0.00041763079859109245,False,D_noise
ava,0.01040870903011001,4.252584655345128e-06,0.003428551438473759,0.003567065,0.8333333333333334,0.0020578830141299883,False,D_noise
dte,0.0039941365333291835,0.09451715158134173,0.00013667618178914154,0.0035568967,0.0,0.0007896719664539697,False,D_noise
tf60_bear_trend,-0.018684250411464112,5.681313424131038e-17,0.009306988173462205,0.003541517,1.0,0.003694022134952202,False,B_weak
dist_vwap,0.023794759900476536,1.6238359900186223e-26,0.0070369310554727615,0.0035140836,1.0,0.004704409747918038,False,B_weak
tf15_bb_pos,0.02248169017206173,7.18776647630339e-24,0.02212240875643734,0.0035081243,1.0,0.004444805614239556,False,B_weak
vwap_dist_atr,0.022374484861895947,1.1422296000673735e-23,0.005365131532755862,0.003470688,1.0,0.004423610287693631,False,B_weak
de50,0.024917645340407583,6.255525852385609e-29,0.009580262483938284,0.0034446325,1.0,0.004926412963394949,False,B_weak
dist_prev_close,0.02983541896683988,6.625797752819543e-41,0.01012350159695452,0.0034438772,1.0,0.0058986951920455945,False,B_weak
day_move_pct,0.03226638670330941,2.536559772083494e-47,0.0027448568166308362,0.0034434272,1.0,0.006379316486992659,False,C_redundant
day_ema50_dist,-0.003924578077195328,0.09840618324920393,0.049648616278529456,0.0034377358,1.0,0.0007759197167798855,False,D_noise
vix_pct5,-0.005146734490077576,0.02901368882644676,0.002247122495705911,0.0033813943,0.6666666666666666,0.0010175495784087328,False,D_noise
rv10,0.010768120749148949,1.9524023387059155e-06,0.00913496491405863,0.0033514954,0.8333333333333334,0.002128941516154583,False,D_noise
vix_spike,-0.007248340463131354,0.0017075898743034539,0.0002668025996646062,0.0033507159,0.6666666666666666,0.0014330534820946434,False,D_noise
rv5,0.012919140534414888,9.266642575334974e-09,0.005755998588959921,0.003313218,0.8333333333333334,0.002554214916184436,False,D_noise
bbsq,-0.0048415417030904205,0.040486890291612,0.0015086421792100957,0.0032920104,0.8333333333333334,0.0009572105824238273,False,D_noise
tf30_ema_bull,0.020572443769599772,3.013203947154686e-20,0.012877916762402686,0.0032817503,1.0,0.004067332699005828,False,B_weak
dist_prev_low,0.030042256766422016,2.701396410541858e-41,0.007550207444618984,0.0032197319,1.0,0.005939588639370215,False,B_weak
inside_bar,-0.0019850444984989093,0.41096870616987713,0.00029168197210882596,0.0031620434,0.5,0.0003924587904163858,False,D_noise
tf30_bear_trend,-0.018669761594330262,5.876749043878242e-17,0.006951804822607377,0.0031392628,1.0,0.0036911575827211487,False,B_weak
_atr14_pts,0.0063856101748851115,0.006079903349130595,0.007298050257515509,0.0031163362,0.6666666666666666,0.0012624849705893653,False,D_noise
dist_from_open,0.03226638670330941,2.536559772083494e-47,0.0026591142940075585,0.0031134957,1.0,0.006379316486992659,False,B_weak
e13s,0.026032900944799466,1.701735602893997e-31,0.007011534508206463,0.0030374848,1.0,0.005146907700835705,False,B_weak
m12,0.011633299736245103,2.5203305313033256e-07,0.003623027546270974,0.0030365929,1.0,0.0022999941545343255,False,D_noise
tf60_rsi,0.027232797325775614,2.7092132738847603e-34,0.031758946686932576,0.0030285981,1.0,0.005384136580419512,False,B_weak
eslp,0.005446131008293849,0.020605435704690204,0.0032414325317016157,0.00299649,0.6666666666666666,0.001076742606818368,False,D_noise
dl20,0.008765781164338784,0.00012106992010967965,0.0006976758347685408,0.002995295,0.8333333333333334,0.001733063352188136,False,D_noise
st5,-0.013489981856661748,1.95191831050163e-09,0.0015517343445894394,0.0029941192,1.0,0.002667074700949012,False,D_noise
intraday_range_atr,0.015829930351687227,1.5169980437580666e-12,0.0022306213463996194,0.0029729924,0.8333333333333334,0.003129700781466998,False,B_weak
bbw,0.008984052028354958,8.070718936162367e-05,0.011074287290758766,0.0029137027,0.8333333333333334,0.0017762172055852286,False,D_noise
vix_change5,-0.00011653530891767636,0.9627372023129731,0.051128714643302375,0.0029095537,0.6666666666666666,2.3039940118831674e-05,False,D_noise
