date,expiry,strike,opt_type,settle,oi,volume,underlying
2026-05-15,2026-07-28,26100,CE,63.7,1885,24,23643.5
2026-05-15,2026-09-29,24000,CE,1000.65,434850,767,23643.5
2026-05-15,2026-09-29,25500,CE,370.2,462215,971,23643.5
2026-05-15,2026-12-29,27000,CE,290.7,1018790,1739,23643.5
2026-05-15,2026-12-29,33000,CE,15.1,86255,122,23643.5
2026-05-15,2027-03-30,19500,CE,5297.7,0,0,23643.5
2026-05-15,2027-12-28,19500,CE,6255.75,0,0,23643.5
2026-05-15,2028-06-27,22500,CE,4742.35,0,0,23643.5
2026-05-15,2029-06-26,25500,CE,4322.1,0,0,23643.5
2026-05-15,2029-06-26,27000,CE,3633.85,0,0,23643.5
2026-05-15,2029-12-24,28500,CE,3592.15,0,0,23643.5
2026-05-15,2030-06-25,25500,CE,5474.2,0,0,23643.5
2026-05-15,2030-06-25,27000,CE,4774.85,0,0,23643.5
2026-05-15,2030-12-31,16500,CE,11472.05,0,0,23643.5
2026-05-15,2030-12-31,30000,CE,4136.85,0,0,23643.5
2026-05-15,2026-05-19,21250,PE,1.25,166335,10144,23643.5
2026-05-15,2026-05-19,21300,PE,1.35,410605,40253,23643.5
2026-05-15,2026-05-19,21650,PE,1.5,171145,12765,23643.5
2026-05-15,2026-05-19,22050,PE,1.75,383825,51100,23643.5
2026-05-15,2026-06-30,23000,CE,1039.5,797390,1458,23643.5
2026-05-15,2026-06-30,22950,CE,1117.55,3900,0,23643.5
2026-05-15,2026-06-30,22750,CE,1264.85,650,0,23643.5
2026-05-15,2026-06-30,22300,CE,1625.95,2015,3,23643.5
2026-05-15,2026-06-30,21900,CE,1975.4,715,2,23643.5
2026-05-15,2026-06-30,21350,CE,2486.05,65,0,23643.5
2026-05-15,2026-06-30,21100,CE,2725.65,0,0,23643.5
2026-05-15,2026-06-30,20600,CE,3212.9,390,0,23643.5
2026-05-15,2026-06-16,25550,CE,48.15,0,0,23643.5
2026-05-15,2026-05-19,22350,PE,2.6,854880,108660,23643.5
2026-05-15,2026-05-19,23650,PE,166.7,2171585,2583919,23643.5
2026-05-15,2026-05-19,25650,PE,1990.05,1040,0,23643.5
2026-05-15,2026-05-19,26000,PE,2371.0,46800,116,23643.5
2026-05-15,2026-05-26,21100,PE,3.85,54730,1722,23643.5
2026-05-15,2026-05-26,21400,PE,5.15,88465,3637,23643.5
2026-05-15,2026-05-26,22850,PE,67.2,96720,4383,23643.5
2026-05-15,2026-05-26,22900,PE,74.3,789880,31334,23643.5
2026-05-15,2026-05-26,24200,PE,632.2,1521975,14013,23643.5
2026-05-15,2026-05-26,24300,PE,713.3,1119040,3138,23643.5
2026-05-15,2026-05-26,26050,PE,2360.65,1755,0,23643.5
2026-05-15,2026-05-26,26350,PE,2660.0,1040,0,23643.5
2026-05-15,2026-05-26,26600,PE,2909.5,11310,0,23643.5
